order_id,country,order_date,currency,product,quantity,unit_price
2001,Germany,01.08.2026,EUR,Running Shoes,2,59.00
2002,DE,02/08/2026,EUR,Sandalen,1,32.00
2003,United Kingdom,2026/08/02,GBP,Sneakers,2,48.00
2004,UK,03.08.2026,GBP,Running Shoes,1,62.00
2005,Germany,2026-08-03,EUR,Sneakers,3,51.00
2006,DE,04/08/2026,EUR,Hoodie,2,45.00
2007,United Kingdom,04.08.2026,GBP,Sandals,2,29.00
2008,UK,2026/08/05,GBP,Socks,6,10.00
2009,Germany,05.08.2026,EUR,Running Shoes,1,61.00
2010,DE,2026-08-05,EUR,Jacket,1,79.00
2011,United Kingdom,06.08.2026,GBP,Sneakers,2,49.00
2012,UK,06.08.2026,GBP,Hoodie,1,46.00
2013,Germany,07.08.2026,EUR,Sandalen,2,31.00
2013,Germany,07.08.2026,EUR,Sandalen,2,31.00
2014,DE,2026/08/07,EUR,Running Shoes,2,60.00
2015,United Kingdom,08.08.2026,GBP,Jacket,1,82.00
