order_id,country,order_date,currency,product,quantity,unit_price,source_file,currency_valid,price_usd,data_quality_issue,sales_usd
1001,United States,2026-08-01,USD,Running Shoes,2.0,65.0,sales_us.csv,True,65.0,False,130.0
1002,United States,2026-08-01,USD,Sandals,1.0,35.0,sales_us.csv,True,35.0,False,35.0
1003,United States,2026-08-02,USD,Sneakers,3.0,55.0,sales_us.csv,True,55.0,False,165.0
1004,United States,2026-08-02,USD,Hoodie,2.0,48.0,sales_us.csv,True,48.0,False,96.0
1005,United States,2026-08-03,USD,Running Shoes,1.0,70.0,sales_us.csv,True,70.0,False,70.0
1006,,2026-08-03,USD,Sneakers,2.0,58.0,sales_us.csv,True,58.0,True,116.0
1007,United States,2026-08-04,USD,Sandals,3.0,34.0,sales_us.csv,True,34.0,False,102.0
1008,United States,2026-08-04,USD,Socks,5.0,12.0,sales_us.csv,True,12.0,False,60.0
1010,United States,2026-08-05,USD,Jacket,1.0,85.0,sales_us.csv,True,85.0,False,85.0
1011,United States,2026-08-06,USD,Sneakers,1.0,60.0,sales_us.csv,True,60.0,False,60.0
1012,United States,2026-08-06,USD,Hoodie,2.0,50.0,sales_us.csv,True,50.0,False,100.0
2001,Germany,2026-08-01,EUR,Running Shoes,2.0,59.0,sales_europe.csv,True,68.44,False,136.88
2002,Germany,2026-02-08,EUR,Sandals,1.0,32.0,sales_europe.csv,True,37.12,False,37.12
2003,United Kingdom,2026-08-02,GBP,Sneakers,2.0,48.0,sales_europe.csv,True,64.32000000000001,False,128.64
2004,United Kingdom,2026-08-03,GBP,Running Shoes,1.0,62.0,sales_europe.csv,True,83.08,False,83.08
2005,Germany,2026-08-03,EUR,Sneakers,3.0,51.0,sales_europe.csv,True,59.16,False,177.48
2006,Germany,2026-04-08,EUR,Hoodie,2.0,45.0,sales_europe.csv,True,52.199999999999996,False,104.4
2007,United Kingdom,2026-08-04,GBP,Sandals,2.0,29.0,sales_europe.csv,True,38.86,False,77.72
2008,United Kingdom,2026-08-05,GBP,Socks,6.0,10.0,sales_europe.csv,True,13.4,False,80.4
2009,Germany,2026-08-05,EUR,Running Shoes,1.0,61.0,sales_europe.csv,True,70.75999999999999,False,70.76
2010,Germany,2026-08-05,EUR,Jacket,1.0,79.0,sales_europe.csv,True,91.64,False,91.64
2011,United Kingdom,2026-08-06,GBP,Sneakers,2.0,49.0,sales_europe.csv,True,65.66000000000001,False,131.32
2012,United Kingdom,2026-08-06,GBP,Hoodie,1.0,46.0,sales_europe.csv,True,61.64,False,61.64
2013,Germany,2026-08-07,EUR,Sandals,2.0,31.0,sales_europe.csv,True,35.96,False,71.92
2014,Germany,2026-08-07,EUR,Running Shoes,2.0,60.0,sales_europe.csv,True,69.6,False,139.2
2015,United Kingdom,2026-08-08,GBP,Jacket,1.0,82.0,sales_europe.csv,True,109.88000000000001,False,109.88
